City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Lopsmarka,NO,67.3134,14.4493,55.51,91,100,17.27,light rain
290,Samarai,PG,-10.6167,150.6667,79.05,85,99,16.24,moderate rain
291,Kodinsk,RU,58.6881,99.1844,60.87,56,100,1.61,overcast clouds
292,Lorengau,PG,-2.0226,147.2712,84.15,70,65,5.44,broken clouds
293,Havoysund,NO,70.9963,24.6622,46.63,74,87,13.78,overcast clouds
294,Labuhan,ID,-6.8844,112.2051,81.9,72,86,7.85,overcast clouds
295,Namatanai,PG,-3.6667,152.4333,85.5,67,94,4.68,light rain
296,Storsteinnes,NO,69.2408,19.2344,52.45,73,100,5.44,light rain
297,Whitehorse,CA,60.7161,-135.0538,66.97,48,75,6.91,broken clouds
298,Ballina,AU,-28.8667,153.5667,68.02,69,0,1.12,clear sky
299,Christchurch,NZ,-43.5333,172.6333,50.92,74,100,10.36,overcast clouds
300,Bedford,GB,52.1346,-0.4663,60.13,83,0,2.48,clear sky
301,Richards Bay,ZA,-28.783,32.0377,64.92,76,92,7.09,overcast clouds
302,Ostrovnoy,RU,68.0531,39.5131,50.41,75,99,12.71,overcast clouds
303,Nova Ushytsya,UA,48.8372,27.2743,52.41,85,84,12.68,broken clouds
304,Saint-Leu,RE,-21.15,55.2833,66.31,77,51,18.05,light rain
305,Karratha,AU,-20.7377,116.8463,77.67,27,0,14.52,clear sky
306,Kirakira,SB,-10.4544,161.9205,84.09,71,68,6.26,broken clouds
307,Chapais,CA,49.7834,-74.8492,64.18,85,37,6.76,scattered clouds
308,Nanortalik,GL,60.1432,-45.2371,40.66,80,0,15.88,clear sky
309,Montrose,US,38.4166,-108.2673,65.61,59,100,7.07,overcast clouds
310,Moose Factory,CA,51.2585,-80.6094,60.8,63,0,5.75,clear sky
311,Karatau,KZ,43.1667,70.4667,69.66,78,100,4.27,overcast clouds
312,Autun,FR,46.95,4.3,58.93,99,63,2.04,broken clouds
313,Portland,US,45.5234,-122.6762,77.0,57,20,9.22,few clouds
314,Safaga,EG,26.7292,33.9365,83.03,43,0,15.55,clear sky
315,Fort Dodge,US,42.4975,-94.168,82.4,51,0,0.0,clear sky
316,Mariakani,KE,-3.8633,39.4736,67.68,91,49,6.85,scattered clouds
317,El Pueblito,MX,20.5333,-100.45,65.44,70,100,14.36,overcast clouds
318,Mount Forest,CA,43.9795,-80.7221,69.13,63,0,6.91,clear sky
319,Inirida,CO,3.8653,-67.9239,72.09,98,99,0.4,overcast clouds
320,Dauphin,CA,51.1494,-100.0502,78.94,41,75,10.36,broken clouds
321,Souillac,MU,-20.5167,57.5167,70.18,73,40,8.05,scattered clouds
322,Nuuk,GL,64.1835,-51.7216,34.88,93,96,8.01,overcast clouds
323,Acapulco,MX,16.8634,-99.8901,76.73,91,100,8.48,overcast clouds
324,Nago,JP,26.5881,127.9761,88.65,78,0,9.04,clear sky
325,Brownsville,US,25.9018,-97.4975,85.08,73,0,3.0,clear sky
326,Belyy Yar,RU,53.6039,91.3903,71.49,64,0,4.47,light rain
327,Konza,KE,-1.7426,37.1294,54.59,92,84,2.08,broken clouds
328,Seybaplaya,MX,19.65,-90.6667,82.81,68,49,17.36,scattered clouds
329,Khorol,UA,49.7837,33.2783,56.16,96,100,10.63,light rain
330,Jamestown,US,42.097,-79.2353,74.84,56,0,10.36,clear sky
331,Kemin,KG,42.7846,75.6892,66.42,86,84,2.15,broken clouds
332,Alofi,NU,-19.0595,-169.9187,78.69,69,20,12.66,few clouds
333,Kalanguy,RU,51.0167,116.5167,71.35,47,100,8.57,overcast clouds
334,Sakakah,SA,29.9697,40.2064,78.37,44,0,8.1,clear sky
335,Vao,NC,-22.6667,167.4833,71.22,69,100,15.46,overcast clouds
336,Cervo,ES,43.6702,-7.4101,58.33,89,74,6.33,broken clouds
337,Lianran,CN,24.9227,102.485,64.94,84,100,4.41,light rain
338,Aste,IT,45.7906,11.0961,65.77,85,8,4.23,clear sky
339,Yar-Sale,RU,66.8333,70.8333,71.98,58,6,7.29,clear sky
340,Coruripe,BR,-10.1256,-36.1756,73.17,92,90,5.57,overcast clouds
341,Semme,FR,46.1963,1.5007,63.01,93,7,1.77,clear sky
342,Kidal,ML,18.4411,1.4078,86.52,43,51,21.45,broken clouds
343,Parrita,CR,9.5201,-84.3225,78.1,85,100,3.4,overcast clouds
344,Cangzhou,CN,38.3167,116.8667,90.12,38,0,13.94,clear sky
345,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,51.13,74,100,8.79,light rain
346,Nara,JP,34.6851,135.8049,90.97,46,33,5.23,scattered clouds
